reaction_id,median_fluxes,std_fluxes
ALCD25yi,0.0,0.0
MTHFCm,0.0,0.0
AMPN,0.08482128908322989,0.10938556966480249
DAGCPTer_RT,0.025295473559333127,0.041296306659393295
PYRt2,0.0,0.0
NNDPRm,0.0,0.0
HMGCOASm,-0.31661137864480693,0.31607263127463325
PDE4,0.11647924677497046,0.1901662253226003
PAPSR,-5.3052622927973995e-14,5.440047512568296e-13
FACOAL80p,0.0,0.0
URIH,0.0,0.0
ACOAO4p,0.012785154858441991,0.010683945871016329
3IPM3MT,0.0,0.0
UDPGD,7.379328112793488e-13,1.413455699665998e-12
CYTDK2,0.0,0.0
ACACT4m,-0.03222787043406832,0.025449949188104896
CHTNDA,0.0,0.0
FACOAL141,0.0,0.0
ACACT7p,0.004020188943772975,0.0033765349517052936
POLYAO,0.008815595029739325,0.009324299972708908
MEVK1,0.0363163545217601,0.01734462729085692
DATUP,5.909949222026405e-14,1.0251213685709767e-12
TAUDO,-6.13274925162595e-14,9.915997966937052e-13
CSp,0.0,0.0
PSERT,-4.3469010107052456e-14,4.122298287377232e-12
GK2,414692.51367193914,154028.96359803062
CYSt2r,-0.0012979887268306182,0.0021891244582925317
ATPS2v,0.0,0.0
SPHPLer,0.0,0.0
PLBPCe_RT,-1.3960570996607985e-12,1.745993245747838e-12
ALDD19xr,-173961.3826266208,73225.18160526876
GTHRDH_syn,0.12361362980332448,0.17490918851956078
NDPK7,78198.59202909673,80958.83460112113
PPDOy,0.0,0.0
GLYCLTDy,0.0435351190070542,0.679898868895538
DGK1,-4.539216160532078e-12,6.178303889011998e-12
SLCBK2er,0.0,0.0
CERS126er,1.681479634730796e-13,7.745337679829893e-13
CSm,1.7195995838321436,0.20395620237589873
MI145P6Kn,0.0,0.0
ADK3m,-85536.53226650579,223107.8762071381
DMATT,0.011480324362998158,0.005513715418067034
PMPK,1.874325040467658e-06,1.5368193329349517e-06
LGTHL,0.0,0.0
PUNP3m,0.0,0.0
PPNDH,0.003171903749603711,0.0043205782045151195
GLYTRS,0.0006905537096797818,0.0005662070477819406
HACD4p,-0.012785154858539954,0.010683945871014549
GAT2er_RT,0.031101399273659687,0.05259390644607548
DASYNer_RT,0.0010458671908519413,0.0017695613864176555
ACOAD8m,0.025877184187793917,0.029847242485284285
ECOAH1p,9.200822668006589e-14,4.690963779425256e-13
KYN,0.030032384744577145,0.024510162556486286
HSTPT,8.417645437547431e-05,6.90189644086727e-05
FACOAL141p,0.0,0.0
FE2t,-0.3441167538011337,0.38581345399807315
3MOPDC,0.0,0.0
