reaction_id,median_fluxes,std_fluxes
ALCD25yi,0.0,0.0
MTHFCm,0.0,0.0
AMPN,0.006699634858998468,0.006294640290147143
DAGCPTer_RT,1.530245976675871e-06,2.0305198086219553e-06
PYRt2,0.0,0.0
NNDPRm,0.0,0.0
HMGCOASm,-0.020432993240105734,0.06696321318356906
PDE4,0.006505254724411196,0.0172395838453121
PAPSR,0.0,0.0
FACOAL80p,0.0,0.0
URIH,0.0,0.0
ACOAO4p,0.0005867542164206807,0.0006686907767060145
3IPM3MT,0.0,0.0
UDPGD,0.0,0.0
CYTDK2,0.0,0.0
ACACT4m,-0.002028755092164986,0.0021968455326740383
CHTNDA,0.0,0.0
FACOAL141,0.0,0.0
ACACT7p,4.575807676777705e-05,6.291653120835426e-05
POLYAO,0.0019003733492197123,0.0016234437235658847
MEVK1,0.03561894185211143,0.0020342893845352304
DATUP,0.0,0.0
TAUDO,0.0,0.0
CSp,0.0,0.0
PSERT,0.00016477048782954565,0.0002780671633841215
GK2,446663.2951365786,175042.86828884328
CYSt2r,-0.00014110752649507558,0.00015440597056009817
ATPS2v,0.0,0.0
SPHPLer,0.0,0.0
PLBPCe_RT,0.0,0.0
ALDD19xr,-407129.53004313353,115573.91753835655
GTHRDH_syn,0.0,0.0
NDPK7,-7563.782093693269,105245.04406618356
PPDOy,0.0,0.0
GLYCLTDy,0.17674070748436568,0.11777032025726507
DGK1,0.00762384277678067,0.011517366918524743
SLCBK2er,0.0,0.0
CERS126er,4.023109840192587e-12,2.888041501107528e-12
CSm,0.550570485271419,0.026403422103752416
MI145P6Kn,0.0,0.0
ADK3m,-289406.29325786314,240637.65856549027
DMATT,0.01181584651542519,0.0006780842519776501
PMPK,5.3761139415350604e-05,1.2954904636882845e-07
LGTHL,0.0,0.0
PUNP3m,0.0,0.0
PPNDH,0.0036727387446679723,8.85025516772672e-06
GLYTRS,0.01980710119938725,4.77294770835675e-05
HACD4p,-0.0005867542162420083,0.0006686907767104106
GAT2er_RT,0.0018708421786101923,0.0012581513888659135
DASYNer_RT,0.0014724048702578884,7.127439836154405e-05
ACOAD8m,0.008338252096895843,0.006376541996314935
ECOAH1p,0.0,0.0
KYN,0.022754815159030398,0.0009771913110528945
HSTPT,0.0028174031640438063,0.00022679912408399492
FACOAL141p,0.0,0.0
FE2t,-0.014844998878157998,0.02058801287484861
3MOPDC,0.0,0.0
PTE11x,0.0,0.0
GLUTRS,0.00805348043447208,1.940659594610287e-05
AICART,0.0076872979170242006,0.0002467768486875459
CYTD,1.584473278917286e-05,1.963288686752333e-05
42A12BOOX,0.0,0.0
DPGM,0.0,0.0
TPI,0.15125582200486576,0.028487293789929223
COAtim,4.557603177867256e-13,1.788721164630888e-12
NADS2,0.0,0.0
ACACT4p,0.0005867542162420083,0.0006686907767104106
HISTRS,0.0023606659114277,5.688533036067579e-06
PHETRSm,0.0,0.0
OMCDC,0.020967587774784843,0.006394807089268493
LEUTA,175670.44729562604,124287.4316692923
DTMPK,9.737211395903095e-05,2.3463908398316967e-07
ALCD23yi,0.0,0.0
FA140COAabcp,0.0005128966640057085,0.0006732617780018721
FACOAL160p,0.006290439319006053,0.009752884191276085
PGL,0.1216569871438663,0.061421208038668025
THRD_Lm,0.007862242475690211,0.004120733491464125
BGLA,0.0,0.0
TRPTRS,0.0008999684206938779,2.168667776220236e-06
AMETt2,0.0,0.0
SHSL1,0.0,0.0
AHSERL,0.0,0.0
ACtr,-0.0007660521965906427,0.0011502434806347542
LNS14DMrx,3.264036220519835e-05,4.915961634052287e-05
ACOAD10m,0.00033426284407840574,0.00027699019322375
TMDPP,0.0,0.0
INSTt2,0.0,0.0
IPC224PLCg_RT,0.0,0.0
DCTCP,0.0,0.0
TRPTRSm,0.0,0.0
HEX7,0.024493163466869687,0.017268924057373607
HICITDm,0.013602978715174286,0.008756930928115372
MALtm,0.04284231321111041,0.030018832557764302
AMID,0.0,0.0
MCITSm,0.0004221011460131778,0.00039258600250733727
GNNUC,0.0,0.0
PNTK,2.971720815522756e-05,7.160983054291654e-08
FAO80p,0.0005867542162420083,0.0006686907767104106
ADA,0.00029559353757012874,0.00029595983126817733
GLUDxi,185777.4369506681,92375.24741075606
URAt2,0.0,0.0
FA180COAabcp,4.3401839254188674e-05,6.300360561198858e-05
AMID2,0.0,0.0
ERGSTt,0.0,0.0
CSNATp,0.023732007735553104,0.13193165132308013
UDPG4E,0.0,0.0
CYOR_u9m,2.7348586966780983,0.03989098155687982
SHK3Dr,0.010048844628865856,0.0013182628048195053
SSALy,0.014178281442254699,0.011188488217674993
CYSDS,9.944409183941231e-05,0.00013669826642657556
RBK,0.011727558079170116,0.012226548526472541
MOHMT,3.0692555447446105e-05,1.4137246637737605e-06
IPC324PLCg_RT,0.0,0.0
GARFT,0.0048280110664509265,0.00011589299262144425
PYDAMK,0.0,0.0
HKYNH,0.0010998380119695197,0.0008888078715251699
DATCY,0.0,0.0
NNATn,0.0,0.0
METTRSm,0.0,0.0
SFGTHi,0.0,0.0
IPCS226g_RT,-1.0088300123467117e-12,1.2694696816623728e-12
ACP1e,0.0,0.0
FAO141p_even,0.0,0.0
FTHFLi,0.06065560706778576,0.0014606945037187577
ASAD,-0.041069186752334445,0.007791644766268013
ECOAH7p,-4.575807676777705e-05,6.291653120835426e-05
FACOAL140p,0.0005128966640057085,0.0006732617780018721
ECOAH9m,0.00033426284407840574,0.00027699019322375
HXPRT,0.008824221138024595,0.00686026090420769
H2Otm,-9.576862161698335,0.15210481782102392
C22STDSrx,0.0,0.0
