reaction_id,median_fluxes
NDPK2,239738.9287905338
ACOAH,0.0
CERS2p26er,0.0
PYK,2.23054808949542
TRDRm,0.0
FAS180COA,0.02146499670009092
PPCOAOm,0.13495134431699374
GHMT2r,-0.1573932244198605
ACACT5p,0.009544371130399704
ALLTAHr,0.0
CERS324er,0.0
PGAMT,0.0
PMEVK,0.11305093639130187
FAS80COA_L,0.06786224685100381
DHFS,0.0003170498023104484
ACGKm,0.1115916848589229
PGCD,0.09901696298616228
PPBNGS,0.00022458371630218243
PRMICI,0.007941136681952982
PPNCL3,6.25649301563448e-05
NNAMrm,0.0
PGM,-2.349760105375171
CYTK2,295046.8255362176
MIP2C224PLCg_RT,0.0
GTMLT,0.0
ASP1DC,4.802860746153148e-06
ETHAPTer_RT,0.0
PGMT,-0.4752784028834748
GTHRDabcv,0.0
DOLPMMer,0.06564775410018124
DADK,0.0
DTTGY,0.0
ZYMSTt,-0.01095359752848871
ADNCYC,0.0013271447578363906
URIt2,0.0
ASPCT,0.00835428682642434
CYSTRS,0.0027844643176409374
ARGt2r,0.0
ACITL,0.19531600735618704
G12MT2g,0.0
PFK_2,0.0
ABUTD,0.05853746383228803
PEAMNO,0.0
ALDD2x,0.060296418158822154
PDE1,0.0
IPCS224g_RT,7.967760486384095e-13
ALKP,0.0
3HPCOAHYDm,0.13495134431699374
ASNt6,0.0
DGTCY,0.0
ATPS,0.0
ACGAMPM,0.002519254010684874
PHETA1,-0.009947410028273113
HEX10,0.0
16GS,0.014407402914660333
MCOATAm,0.0
NADS1n,0.0
AMPTASECG,0.0033362111336702176
THFGLUS,0.0
ADK1,3.831496938416165
BTDD_RR,-0.0009027860228919396
HMGCOAS,-0.11305093639130184
GTPCI,0.0003170498023104492
GMAND,0.0
MTHFDm,0.0
LEUTRS,0.02601766601973263
PMETMer_RT,0.002280481197169516
G3PD1ir,0.20852583817691
NNAM,0.038026699838665065
GLPT,0.0
DRBK,0.0
ADNt2,0.0
UREA2t2,-83376.2178035943
ASPTA,-0.6319679695630949
MIPCS326g_RT,0.0
PRAMPC,0.007941136681952982
ADSL1r,0.29680892713956997
ARGN,0.08989638050626342
ICDHyp,0.004844789278363981
TKT2,0.19796871082832804
SAM24MTer,0.0033778444931783676
BACCL,0.0
DUTUP,0.22720959751494052
GTHOr,0.0
MTHFD,-572581.25359085
ATP2tp_H,0.45242346889958984
GLUDC,0.13039557864703277
METt2r,0.0
HBCO_nadp,0.0
VALTAm,-4485.41088606921
GTHRDt2,0.0
METSOXR1,0.0
PLDn_RT,0.0
NAPRTm,0.0
FACOAL260p,0.0
PYDXNK,0.23932827045218688
ALCD2y,683204.7534791256
IG3PS,0.007941136681952982
AGATer_RT,0.023851776049589865
DCTPD,697867.1282908237
CYTDt2,0.0
UPPRT,0.0
ECOAH12m,0.06188987459403751
LCYSTCBOXL,0.0
DHAK,0.22446676754124636
GRTT,0.036898097436775405
ILETRS,0.012884231298938367
IPCS124g_RT,6.984826912128598e-12
ILETA,-87461.47961423706
UREASE,0.0
PTE9m,0.0
TYRTA,-0.02437691167145545
GLCP,0.5625776039121304
PYRDC,0.40919056915245344
PINOSer_RT,0.00038188982149792004
NNDPR,0.00013674918752057608
MIPC124PLCg_RT,0.0
PIt2m,25.52669250574315
PYDXO_1,0.0
RBFSa,0.0002829234805225053
PMANM,-0.06564775412937479
METTRS,0.004635492407756719
NADS1,0.038159594418524345
PSERDg_RT,0.0
GLYOX,0.0
D_LACDcm,0.0
ACOAO5p,0.009544371130399704
DRTPPD,0.00014146174026125264
ALASm,0.00044916743260436486
ALCD24xi,0.0
NDP3g,2.2308755843133085e-11
DAGPYPer_RT,0.30740938125771733
SPMDt3i,419820.74975570745
FACOAL100p,0.0
ACACT6m,-0.032380063684269836
3MOBDC,0.0
DAGKer_RT,0.2903645034344284
MDHm,2.7620176503560803
SERTRS,0.027371749822979782
TALA,-0.05225363412619455
ALCD25xi,0.0
GAPD,2.379061599318936
OIVD3m,0.02025851906001829
APCPT,0.0
OCBTm,0.0
C5STDSer,0.0017756270328838186
CITtcm,0.45265244068647975
13GS,0.07780005699232184
SHCHD2,0.0
GALKr,0.0
PTE9x,0.0
TMDPK,0.000113185642839704
CERH126er,0.0
ACONTam,-2.2845077842778303
DCTUP,0.22635065455035158
MIPC324PLCg_RT,0.0
GLYCTO1p,0.0026462161883132828
FECOSTESTH_RT,0.1075976159622836
HACD7p,-0.002390098063227831
THRt2r,-0.007597112971283432
ETF,0.31394488953785515
NP1,5.049319001751377e-06
PTPATi,6.25649301563448e-05
IGPS,0.09272275552136611
ALDD20x,0.0
LYSt6,0.0
METS,0.015541177196427678
CYSTL,0.003608710356710638
PI35BP5Per_RT,0.0
NADK,6.459635897644208e-05
NTD2,0.5378015831456642
TRDR,0.2609427353756201
MIPCS226g_RT,7.853870022228976e-13
CDPDGPm_RT,0.00014625567631835345
FA141COAabcp,0.0
HISTP,0.007941136681952982
FACOAL161p,7.984484626293886e-07
GK1,237641.8035482104
EPISTATer_RT,0.05401309382063188
ACHLE2,0.0
ACACT6p,0.009544371130399704
GMPS2,0.00011218273658474069
ADCS,0.0048615956876589105
IMPD,0.005719355568774485
TRPTA,-482433.1016872201
COAHLp,0.0
LANOSTESTH_RT,0.0
ORNTACim,0.1115916848589229
VALt2r,-0.004431307397752529
C24STRer,0.0017756270328838186
ASNt7,0.0
YUMPS,0.0
PCDAGATer_RT,2.151797774925812e-05
FA161COAabcp,7.984484626293886e-07
IPC226PLCg_RT,0.0
FAS140COA,0.06786224685100381
ACLSm,0.1832684422338411
FAO141p_odd,0.0
G6PDH2r,0.4269606315483401
PIN3Kn_RT,0.0
PSPHSer,0.0003255001321609991
PDHm,1.190991659377265
NH4t,1.5388242318407825
GLUCYS,0.0072693236408500235
ALATRS,0.04692970888549852
PPPGOm,2.8072964537772804e-05
DCMPDA,-697867.1286167514
GLNTRS,0.009579584292545238
AMPDA,0.24250718997211768
OCBT,0.11254364215636461
ACACT1r,0.11305093639130184
ADEt2,0.0
TREH,0.0
GLUt2r,0.0
FECOSTt,0.0
BFFS,0.0
